gene_name,p,f,q
ENSG00000227715,0.0,2039.260601503058,0.0
ENSG00000206452,2.6581200155474963e-231,742.1308724541966,3.095513664105837e-227
ENSG00000255823,1.887239408764718e-186,558.6047346100207,1.4651897689846351e-182
ENSG00000223532,7.923471374337682e-177,522.1012291184999,4.6136392944924744e-173
ENSG00000237022,2.654732121145297e-160,461.6337021641597,1.2366273166719023e-156
ENSG00000269028,8.194725997371089e-154,438.63153029763805,3.181056053412834e-150
ENSG00000228964,2.529142176265343e-152,433.4100555915948,8.415178632485157e-149
ENSG00000256618,2.2415309680987407e-132,365.5098902815452,6.525937222248472e-129
ENSG00000233913,2.2805936299179363e-124,339.28689234499103,5.901922914935406e-121
ENSG00000235657,3.45187419714442e-124,338.7040376819451,8.039760192569067e-121
ENSG00000249119,2.1149103519561e-118,320.11866426319267,4.478034273400865e-115
ENSG00000265972,2.9957985779121976e-115,310.12280774443093,5.814595389846082e-112
ENSG00000232196,4.458302034156254e-115,309.57763745654154,7.987562513656408e-112
ENSG00000206503,6.504160937235203e-114,305.9089669750603,1.0820600884938938e-110
ENSG00000206450,8.290322590400634e-106,280.6871725463577,1.2872660230201411e-102
ENSG00000270672,1.890181076630019e-105,279.5863351469386,2.7515129659868605e-102
ENSG00000224608,3.641723594024935e-104,275.64380200857386,4.9893755428491036e-101
ENSG00000129824,1.6121802667848682e-99,261.5029047961254,2.0860716996492424e-96
ENSG00000282017,1.2519042417899857e-88,229.05948745497963,1.5346369313437137e-85
ENSG00000231834,3.33261052583374e-86,221.96617944318078,3.880991587859682e-83
ENSG00000230076,2.1790401279174764e-82,210.90223156222763,2.4167630294917117e-79
ENSG00000273673,7.743835664510137e-72,180.9073299344235,8.1982580210048e-69
ENSG00000215030,1.336298194029659e-68,171.87858769079267,1.3532052711802081e-65
ENSG00000229215,3.6007220238365183e-66,165.15209834848915,3.3545766662870537e-63
ENSG00000224320,3.6007220238365183e-66,165.15209834848915,3.3545766662870537e-63
ENSG00000075426,3.320828975480176e-65,162.4942930268243,2.9748241410734144e-62
ENSG00000122862,6.17238935902438e-62,153.54132353061394,5.324485946705068e-59
ENSG00000067048,5.839361556027907e-59,145.4614843292401,4.857306071480214e-56
ENSG00000206435,3.919024557759537e-57,140.53430621623917,3.1475172749923236e-54
ENSG00000095794,2.1175012682127688e-56,138.565221746831,1.6439574012647864e-53
ENSG00000232126,7.122782439747065e-53,129.14190241086945,5.351507284004804e-50
ENSG00000234745,3.331839195242592e-52,127.36198153221969,2.4250583342623503e-49
ENSG00000132475,2.477584907802316e-50,122.40821995051677,1.7486493965946587e-47
ENSG00000163682,1.0104165468426198e-48,118.165462446054,6.9216505272092524e-46
ENSG00000126353,1.935134279281681e-48,117.42392327233557,1.2877489285357039e-45
ENSG00000143933,2.58074252696827e-48,117.09556851314733,1.6696687276560552e-45
ENSG00000233904,4.8711735413861255e-48,116.37144819756033,2.836362573810606e-45
ENSG00000206493,4.8711735413861255e-48,116.37144819756033,2.836362573810606e-45
ENSG00000229252,4.8711735413861255e-48,116.37144819756033,2.836362573810606e-45
ENSG00000230254,4.8711735413861255e-48,116.37144819756033,2.836362573810606e-45
ENSG00000138767,5.613990511513679e-48,116.20974326369625,3.1891573903332954e-45
ENSG00000228299,1.582090533685631e-45,109.80459581539233,8.645641552396292e-43
ENSG00000089692,1.5961641267143555e-45,109.79457431869228,8.645641552396292e-43
ENSG00000141543,1.2155700948156306e-44,107.50006027412103,6.434509790534284e-42
ENSG00000165502,1.5844201569601775e-44,107.20096452565656,8.200606639057664e-42
ENSG00000170315,1.6243527743259777e-42,101.99058742915469,8.224521840614424e-40
ENSG00000150593,4.08228091049328e-42,100.95698261507333,2.0229873337510426e-39
ENSG00000116824,1.9838504149724726e-41,99.18642744679194,9.626220836484138e-39
ENSG00000225691,9.018760744658783e-40,94.92566561366962,4.2868562551805655e-37
ENSG00000233841,9.44372273443007e-40,94.87438620395054,4.399074924152215e-37
ENSG00000102760,2.7021287690631454e-39,93.70432910313187,1.23402512078921e-36
