gene_name,p,f,q
ENSG00000198744,9.452772571959677e-64,326.11172293611065,3.0345290510504955e-59
ENSG00000206505,1.7305752933503835e-43,209.68497845296355,2.7777464033567004e-39
ENSG00000129824,1.2397232716906056e-37,177.9455042548755,1.3265865489270606e-33
ENSG00000232177,2.863692836796614e-32,149.59430334377222,1.9558061087007494e-28
ENSG00000228501,3.476135497039718e-32,149.15485721706762,1.9558061087007494e-28
ENSG00000164776,3.6554845966620447e-32,149.04081672607856,1.9558061087007494e-28
ENSG00000237022,4.913565850597604e-32,148.37057121720568,2.2533612990840614e-28
ENSG00000165650,8.487140918868068e-31,141.93421576209548,3.405677472218784e-27
ENSG00000166710,1.0760060406831151e-30,141.39980549568304,3.837993990889929e-27
ENSG00000230202,6.560769079942301e-30,137.33651744711827,2.1061380900430772e-26
ENSG00000067048,2.72277900023036e-29,134.1481939732037,7.94605922412682e-26
ENSG00000114374,1.4370258332521001e-28,130.4328047668377,3.8442836082549096e-25
ENSG00000227715,1.2364553099889937e-27,125.6441404140599,3.0532837200974365e-24
ENSG00000250982,1.747642255255366e-26,119.77951639361302,4.0073436913005544e-23
ENSG00000271687,2.1295949721935507e-26,119.34309813452967,4.557617186490491e-23
ENSG00000237973,2.7656194790218205e-25,113.69810176377501,5.548869782222405e-22
ENSG00000226278,7.074704871249082e-25,111.6374801168227,1.3359539751578709e-21
ENSG00000205940,6.530063603746477e-24,106.77737631206357,1.1646005655970524e-20
ENSG00000118785,1.68962313550654e-23,104.70520799669838,2.8547516787384714e-20
ENSG00000270225,1.876693010849163e-23,104.47657764489072,3.0122799517139914e-20
ENSG00000206208,2.7637606860882996e-23,103.63420826112478,4.224868835466981e-20
ENSG00000224114,3.1825551022371144e-23,103.32732991805686,4.6439265405461747e-20
ENSG00000268222,3.813838930744092e-23,102.93388644461253,5.3231242328150804e-20
ENSG00000242697,1.5699188476013133e-22,99.86239260456517,2.0998972852373902e-19
ENSG00000112493,4.49981342850581e-22,97.58246416822826,5.778120427275741e-19
ENSG00000236490,6.347644875097995e-22,96.83863352210409,7.837388299245993e-19
ENSG00000224398,1.9124413764377746e-21,94.45781282459704,2.2738219654224237e-18
ENSG00000230987,3.906055448152955e-21,92.91910126209822,4.478292571307363e-18
ENSG00000228964,7.690910751579107e-21,91.46146531131936,8.513572998179052e-18
ENSG00000223529,9.742158869037478e-21,90.95330114420445,1.0424759467128037e-17
ENSG00000214199,1.4397973924657214e-20,90.11425690353114,1.490979867514019e-17
ENSG00000244527,1.7100740887227724e-20,89.74495535481782,1.7155249498805762e-17
ENSG00000224608,3.217824668849157e-20,88.38905328227017,3.13026083392108e-17
ENSG00000223980,4.1754855336951804e-20,87.83079875251629,3.9423951941965495e-17
ENSG00000235657,4.98118820306273e-20,87.45290293857168,4.568745819849136e-17
ENSG00000225691,5.765839002932664e-19,82.22263103006875,5.141526768670678e-16
ENSG00000273673,1.697878767859189e-18,79.92471884520488,1.4731163298869103e-15
ENSG00000281931,5.522390420432974e-18,77.42145628866805,4.665257296756298e-15
ENSG00000261557,7.576239064627654e-18,76.75143093469036,6.236216062889153e-15
ENSG00000270307,1.0036981922055239e-17,76.15584789577161,8.055179841545431e-15
ENSG00000257907,1.0637382979369484e-17,76.03286810713817,8.328811424480956e-15
ENSG00000266179,1.1776019708624546e-17,75.81765086210675,9.000804397292028e-15
ENSG00000198692,1.3074438361927866e-17,75.59634007083912,9.76082837894438e-15
ENSG00000179218,1.970993598533935e-17,74.72833214407254,1.438019011366736e-14
ENSG00000185559,2.0570060645707915e-17,74.6380507091965,1.4674224152189235e-14
ENSG00000249963,5.482080372904544e-17,72.56855213198148,3.8257770463256885e-14
ENSG00000259612,6.641556683491167e-17,72.16401802001029,4.536324524541137e-14
ENSG00000249855,7.495974817781313e-17,71.9089412777228,5.0132454916753266e-14
ENSG00000203396,1.1316916425562365e-16,71.04122004486842,7.414196961089857e-14
ENSG00000206281,1.2739504819810136e-16,70.7919442974935,8.1792716745109e-14
ENSG00000225901,2.9673430865890447e-16,69.01383834627903,1.8677970150133629e-13
ENSG00000240540,5.846179069483883e-16,67.5902771638396,3.609116163241762e-13
ENSG00000204525,7.995831177427566e-16,66.93367310680917,4.843059857693957e-13
ENSG00000271207,1.0738894470203194e-15,66.31562301755616,6.384073894119683e-13
ENSG00000249264,1.4720182947372978e-15,65.65530045501013,8.591769326846679e-13
ENSG00000237709,1.6562832981055996e-15,65.40845988050711,9.49464400639035e-13
ENSG00000216938,3.733570701684701e-15,63.709208912889366,2.1027208186926713e-12
ENSG00000288686,3.828291706578456e-15,63.65688194362292,2.1188934545617517e-12
ENSG00000236862,4.3601258246056745e-15,63.38524146477325,2.3723518512117178e-12
ENSG00000249448,2.388126951892638e-14,59.841685534759726,1.2777275234942911e-11
ENSG00000243388,1.4475261584611765e-13,56.10270910812663,7.61778438342962e-11
ENSG00000227672,1.7570567966153996e-13,55.70158964309064,8.953180521420247e-11
ENSG00000223927,1.7570567966153996e-13,55.70158964309064,8.953180521420247e-11
ENSG00000225239,1.8105918532186462e-13,55.63948067362825,9.081815573753903e-11
ENSG00000250144,1.8550567534949048e-13,55.589278306983346,9.161697215491298e-11
ENSG00000231834,3.588032560934937e-13,54.22539613959499,1.7451972919868687e-10
ENSG00000276380,5.183895554641777e-13,53.46564291086145,2.483782314852393e-10
ENSG00000244363,7.001453856123833e-13,52.84556299597763,3.3053039954306953e-10
ENSG00000241473,9.782530153324935e-13,52.15605972807432,4.5512867098845956e-10
ENSG00000176183,1.0479393493500724e-12,52.014280966922115,4.805849856119432e-10
ENSG00000131002,1.1099047917092367e-12,51.89593544047827,5.018332904711256e-10
ENSG00000223568,1.2140128892235914e-12,51.71127414936532,5.412811356924408e-10
ENSG00000168300,1.895226099804928e-12,50.79452579217373,8.334321678895588e-10
ENSG00000223822,2.6093453647704227e-12,50.1370340402048,1.131962228376488e-09
ENSG00000230916,3.826910911601147e-12,49.35031551505385,1.6380199211229336e-09
ENSG00000224560,4.710448394000881e-12,48.92391187652783,1.9896686097923194e-09
ENSG00000237888,5.0264019807387545e-12,48.790693758970704,2.095552680333448e-09
ENSG00000100316,5.642655507408398e-12,48.553436458054854,2.322314449984928e-09
ENSG00000136603,6.048112332293078e-12,48.411114431419385,2.457677241661676e-09
ENSG00000237910,7.293762813559255e-12,48.02714682681061,2.904613358680728e-09
ENSG00000165476,7.387208612997751e-12,48.00105262299915,2.904613358680728e-09
ENSG00000196776,7.419422322964915e-12,47.992133780325354,2.904613358680728e-09
ENSG00000230203,9.380176948286938e-12,47.51163405471572,3.598635153368944e-09
ENSG00000259045,9.416402494641807e-12,47.503738485303586,3.598635153368944e-09
ENSG00000136156,1.2378847015566299e-11,46.94363306834068,4.675126434043639e-09
ENSG00000229091,1.8220791133035313e-11,46.152769514046376,6.801439964566275e-09
ENSG00000012817,1.872885141101176e-11,46.09653703897117,6.91073089650919e-09
ENSG00000236468,1.9948533520639784e-11,45.96755333878708,7.197284684563963e-09
ENSG00000139117,1.9953845147535752e-11,45.967009096174536,7.197284684563963e-09
ENSG00000146733,2.676484938812418e-11,45.36692061312813,9.546724389528472e-09
ENSG00000184983,3.624596055239227e-11,44.74778262507859,1.2786459622559304e-08
ENSG00000137142,4.298425737362723e-11,44.39987967598678,1.4998702502262842e-08
ENSG00000233921,5.390956071542797e-11,43.93803435721879,1.8608652882652353e-08
ENSG00000213235,6.831044835459796e-11,43.455536320182816,2.3328744819992593e-08
ENSG00000213891,7.017219014025413e-11,43.40075711506851,2.3712291030341456e-08
ENSG00000231546,7.192671550088182e-11,43.35045053261136,2.4051993968846963e-08
