gene_name,p,f,q
ENSG00000198744,6.759283025354028e-235,1470.9004047031515,1.8180443553294728e-230
ENSG00000206450,1.396346806618464e-155,673.7359114789682,1.8778770028808413e-151
ENSG00000241253,9.907563710542044e-108,377.99233948819193,8.882791370748311e-104
ENSG00000162896,4.4322879474402704e-95,315.986089516098,2.980381223057524e-91
ENSG00000007306,1.6483191461091582e-75,230.93657659636077,8.866968014579605e-72
ENSG00000148346,1.551172845285882e-74,227.02265027451452,6.953649336609061e-71
ENSG00000206452,2.5849374337954585e-72,218.19741194248164,9.932437450970921e-69
ENSG00000162692,1.7795375359197634e-67,199.4820811853552,5.9830276379542345e-64
ENSG00000112299,4.457300447356143e-67,197.96953420390724,1.3320890014726466e-63
ENSG00000164825,8.349238319261344e-67,196.9382352629618,2.2456946307317237e-63
ENSG00000127324,7.361556092501913e-66,193.37785784351593,1.8000343110911267e-62
ENSG00000185215,1.1251004640624518e-65,192.68695635192455,2.5218189318239804e-62
ENSG00000249119,6.897135107083025e-65,189.74435428350014,1.4270172536554777e-61
ENSG00000227715,2.520485150826535e-64,187.65188101826956,4.842392078698665e-61
ENSG00000228913,5.802143661340057e-62,178.96558433138188,1.0404017203937567e-58
ENSG00000124107,2.2888512745226783e-61,176.79798045759892,3.84770204567728e-58
ENSG00000249780,3.390331981114922e-60,172.56882284963382,5.364103488002827e-57
ENSG00000019582,2.6871916146238757e-59,169.34588628428304,4.015410714363244e-56
ENSG00000149131,6.41470680019692e-59,167.99774238700564,9.080861516047188e-56
ENSG00000228299,7.188715824579974e-59,167.82151648425256,9.667744476686378e-56
ENSG00000162366,1.3356367595629784e-57,163.32354385383957,1.710696281998354e-54
ENSG00000101443,1.693920980145632e-57,162.95962396936355,2.0709723910444118e-54
ENSG00000118785,2.715535451654202e-56,158.73147452099118,3.175641610571438e-53
ENSG00000112096,8.168718675317486e-56,157.06371613843856,9.154751092083935e-53
ENSG00000230034,2.003564811430717e-53,148.82038017500466,2.1555953093220796e-50
ENSG00000112303,2.3433058392109914e-53,148.58787505869927,2.424149890663771e-50
ENSG00000173432,1.7319608713044602e-52,145.62911481394048,1.725353761313928e-49
ENSG00000140279,7.046154836757816e-52,143.56497006606773,6.768586665866964e-49
ENSG00000132693,1.427833693001656e-51,142.52962508399102,1.3242911324367427e-48
ENSG00000206281,2.3564870195215095e-51,141.796606311442,2.112747712135668e-48
ENSG00000134339,6.228810019688989e-51,140.37788832648084,5.40439687417983e-48
ENSG00000277753,7.663649610283039e-51,140.07589653714734,6.278065508299587e-48
ENSG00000274843,7.702575074316331e-51,140.06851856789265,6.278065508299587e-48
ENSG00000185201,1.8790719829780534e-48,132.13478815411858,1.4865117390047263e-45
ENSG00000026508,3.8358111479584206e-48,131.11523135922272,2.947766069903932e-45
ENSG00000162645,1.25544085750797e-47,129.42641241358112,9.379886873442186e-45
ENSG00000288411,1.6064524370130958e-47,129.07607355242578,1.167804086441655e-44
ENSG00000111912,1.8646669750703985e-47,128.8644019414756,1.3198407270649606e-44
ENSG00000236490,2.9775279014903167e-47,128.20044789573282,2.0497354978167004e-44
ENSG00000112493,3.048273781933599e-47,128.16716120496264,2.0497354978167004e-44
ENSG00000223532,3.4055060406144003e-46,124.75961549500536,2.2340950237659886e-43
ENSG00000125730,9.07663226628592e-45,120.16720587825732,5.812718525387913e-42
ENSG00000023445,3.6838326830106876e-44,118.22248970700353,2.3042801784869414e-41
ENSG00000118271,4.657884201768012e-44,117.89766129020168,2.847343440339869e-41
ENSG00000086548,1.1241947050577832e-43,116.6799522230674,6.719436662653154e-41
ENSG00000047457,2.1400469187559722e-42,112.63325300378479,1.2513226516038996e-39
ENSG00000140274,7.509321041490653e-42,110.92088373109384,4.2974086819781725e-39
ENSG00000134873,1.3442928023474955e-41,110.12893561848604,7.532800730154288e-39
ENSG00000166922,2.1752114204011258e-41,109.4755503281524,1.1940135015210016e-38
ENSG00000001626,2.752041923714979e-41,109.15657726231284,1.480433432443236e-38
ENSG00000196975,2.937530253305195e-41,109.06816893735538,1.5492304161401928e-38
ENSG00000089199,4.648341614197403e-41,108.44664377850069,2.404354699943607e-38
ENSG00000124766,8.071736818940124e-41,107.70051452176115,4.0963302871515565e-38
ENSG00000270629,8.747238129825334e-41,107.59196455357751,4.356934518109482e-38
ENSG00000109472,1.0997601245056278e-40,107.28290605537272,5.378226921605067e-38
ENSG00000151882,1.6621341387488459e-40,106.72594165235515,7.983289630344233e-38
ENSG00000166710,2.7463942850527135e-40,106.04972753124707,1.295960826053734e-37
ENSG00000124875,3.3209216616884288e-40,105.79423580096363,1.5400487919729943e-37
ENSG00000188313,5.8658030021891974e-40,105.03000139127248,2.674110226269201e-37
ENSG00000176907,2.0324974217395048e-39,103.36550863706526,9.11134719208791e-37
ENSG00000130066,3.698122018796877e-39,102.56619588494947,1.6306293104849115e-36
ENSG00000164924,7.240297872308493e-39,101.67088333596875,3.1410047076045415e-36
ENSG00000213886,1.6932988498155704e-38,100.5414783124328,7.22931097833165e-36
ENSG00000137673,1.9237404200054341e-38,100.37213446442072,8.084819699513463e-36
ENSG00000142089,1.0431678657952858e-37,98.13499862564588,4.3166286286608925e-35
ENSG00000162496,1.1205769135700835e-37,98.04054647958715,4.566690491559778e-35
ENSG00000225972,3.511646209834373e-37,96.53633015978677,1.4097425090435093e-34
ENSG00000121858,3.7177510620021894e-37,96.461368749572,1.470534563451072e-34
ENSG00000243649,4.324060408617218e-37,96.26287262743107,1.6855688813127145e-34
ENSG00000155629,5.870302277155464e-37,95.86150247093454,2.2556217192664365e-34
ENSG00000237550,6.1010807626966955e-37,95.81090545395179,2.311278440482437e-34
ENSG00000132703,1.6556963238543428e-36,94.50312235793709,6.185175558709758e-34
ENSG00000270230,2.3999608303284306e-36,94.01790989252694,8.84270499360874e-34
ENSG00000272398,5.554389479773132e-36,92.92328733416042,2.0188704572629448e-33
ENSG00000198515,7.204808767365798e-36,92.58452498898421,2.5838365522111717e-33
ENSG00000125851,9.818645717806052e-36,92.18184463114125,3.47489623515565e-33
ENSG00000273259,1.1727383065287352e-35,91.95092774864938,4.0965119780134275e-33
ENSG00000086062,1.4637546400744404e-35,91.66297698414414,5.0475139171900284e-33
ENSG00000280501,1.4936044656707306e-35,91.63676283714749,5.085250545967802e-33
ENSG00000163191,1.897091326822499e-35,91.32637617463585,6.378258177193095e-33
ENSG00000196136,3.3703053106027595e-35,90.58143584052065,1.1191494066578077e-32
ENSG00000176153,4.779651421834072e-35,90.12924773314559,1.5677839547935492e-32
ENSG00000104112,7.568158963809477e-35,89.53518585757294,2.4525394174648613e-32
ENSG00000117450,1.766940631567583e-34,88.44153010345882,5.657785972294438e-32
ENSG00000277656,3.0655332270794656e-34,87.73246890040848,9.700429083383104e-32
ENSG00000008517,3.600060278262594e-34,87.52586181842403,1.1259397826096393e-31
ENSG00000247627,1.6535912869934937e-33,85.57147499169699,5.065888803410347e-31
ENSG00000206340,1.657427277020153e-33,85.5685120386533,5.065888803410347e-31
ENSG00000284620,2.1545964411237356e-33,85.23319866088384,6.51148095246125e-31
ENSG00000224389,2.1904837644121028e-33,85.21209404603886,6.546382423488036e-31
ENSG00000115263,2.7999135507208597e-33,84.8986207416478,8.275744480630655e-31
ENSG00000134333,7.510224282950724e-33,83.64110751543454,2.172069919769093e-30
ENSG00000288299,7.510224282950724e-33,83.64110751543454,2.172069919769093e-30
ENSG00000271425,8.671958615389511e-33,83.45813522144307,2.4813794774269326e-30
ENSG00000124145,1.1479545916798111e-32,83.10157942899488,3.250161542359145e-30
ENSG00000171951,1.3237379628335604e-32,82.9205764574076,3.7088104152431536e-30
ENSG00000182326,1.5006389664652243e-32,82.76129853777239,4.161101678455169e-30
ENSG00000169429,3.781558250215826e-32,81.58965917929316,1.0378833903679089e-29
ENSG00000182240,4.982809610242726e-32,81.24064509809774,1.3537639402696828e-29
ENSG00000124225,5.341501090643518e-32,81.15274724315577,1.4367035483503872e-29
ENSG00000147454,6.738700065656199e-32,80.85907566698135,1.7945625313460874e-29
ENSG00000122870,3.4729453726283696e-31,78.79299974489936,9.15802075368483e-29
ENSG00000236625,3.7498826457650786e-31,78.69659935500567,9.792290633314885e-29
ENSG00000206435,6.414656105757771e-31,78.02270861796525,1.6589904353516035e-28
ENSG00000262902,6.681167969110074e-31,77.97165895817466,1.7114607130014635e-28
ENSG00000135046,1.105395757315646e-30,77.34080321261273,2.8048895928791442e-28
ENSG00000108691,2.699897810177921e-30,76.22444597297,6.7868365794724815e-28
ENSG00000103534,2.7527314313082536e-30,76.20025523490065,6.855575676657231e-28
ENSG00000248923,2.9873463234875687e-30,76.09817553622446,7.371619638793132e-28
ENSG00000100906,5.4878920016322524e-30,75.34001955525446,1.341889374253661e-27
ENSG00000196878,5.559527625257337e-30,75.32386829231245,1.3471586895184378e-27
ENSG00000119547,7.166302581197837e-30,75.00783246684594,1.7210003618435555e-27
ENSG00000147862,1.1183687963539345e-29,74.45442632379293,2.6620146473921927e-27
ENSG00000244731,1.4419696948365736e-29,74.1387837575677,3.4021630598262564e-27
ENSG00000080493,1.685103735334696e-29,73.94538677809602,3.941237840808462e-27
ENSG00000230726,1.8213232748220188e-29,73.84893892081332,4.151536620583715e-27
ENSG00000206308,1.8213232748220188e-29,73.84893892081332,4.151536620583715e-27
ENSG00000234794,1.8213232748220188e-29,73.84893892081332,4.151536620583715e-27
ENSG00000198959,2.2085165001775103e-29,73.60988833986121,4.991804059266765e-27
ENSG00000243594,3.39561131321657e-29,73.07695817961486,7.54807913153604e-27
ENSG00000239836,3.39561131321657e-29,73.07695817961486,7.54807913153604e-27
ENSG00000117226,3.666152087248684e-29,72.98206366391791,8.082663335305561e-27
ENSG00000084207,3.8998671049525455e-29,72.90558005396427,8.528026465195823e-27
ENSG00000243067,3.937738048160073e-29,72.89362128217398,8.541398409787218e-27
ENSG00000086619,5.423159435250365e-29,72.4977581261825,1.1669337546394325e-26
ENSG00000240118,7.660259356133e-29,72.07107274840195,1.6352221896976927e-26
ENSG00000189067,8.160922677188816e-29,71.99290648266636,1.7283806082547055e-26
ENSG00000007372,9.358088523850249e-29,71.8239604515502,1.9664414611406264e-26
ENSG00000142867,1.1628854822103412e-28,71.55598063828407,2.4246613034892672e-26
ENSG00000197321,1.3959830939683487e-28,71.33077048024875,2.8882890214205133e-26
ENSG00000140297,2.043867676467618e-28,70.86123560462582,4.1964815949579784e-26
ENSG00000172197,2.0669186745223385e-28,70.84743222576667,4.2116599688354044e-26
ENSG00000228267,2.7993109505579097e-28,70.47430533206796,5.661132829861361e-26
ENSG00000183311,4.033574125003241e-28,70.02544001272898,8.096346510463595e-26
ENSG00000134250,4.129136326783063e-28,69.99668475185887,8.226768872702522e-26
ENSG00000120549,5.635110680614346e-28,69.61503258182232,1.1144674410035593e-25
ENSG00000034510,1.06950297522587e-27,68.82979133155587,2.0997387974197244e-25
ENSG00000157765,2.7132966935292128e-27,67.6918225387641,5.28837254825038e-25
ENSG00000196954,2.8151281509457453e-27,67.64685807193166,5.4473742356825685e-25
ENSG00000143217,3.246830474621906e-27,67.4727896359767,6.237857091136101e-25
ENSG00000182718,5.25642478597704e-27,66.88559435401035,1.0027096274356344e-24
ENSG00000228502,5.4494589839053614e-27,66.84167422119279,1.0322119597894543e-24
ENSG00000115221,9.969760687062529e-27,66.1068422670789,1.8752213510483975e-24
ENSG00000110492,1.057522357299944e-26,66.03519648625398,1.975290197520597e-24
ENSG00000117519,2.5745153690130416e-26,64.95564904170531,4.775637233127157e-24
ENSG00000106927,4.315742304820897e-26,64.33026243143341,7.950720600874497e-24
ENSG00000155366,8.729460025984871e-26,63.47919450846497,1.5972536484279937e-23
ENSG00000140416,1.1192511960528983e-25,63.17938285135979,2.0340877986645138e-23
ENSG00000137960,1.2757752126011824e-25,63.021584886235594,2.3029883149888595e-23
ENSG00000116489,3.447543394124599e-25,61.8253423198227,6.181904978117956e-23
ENSG00000125398,4.329341288019641e-25,61.551824059449714,7.711675008202933e-23
ENSG00000168036,4.9775201359369055e-25,61.38437343554931,8.807918361598352e-23
ENSG00000058085,8.48969927848083e-25,60.74425127902217,1.4924669378646987e-22
ENSG00000206406,9.566548562638636e-25,60.60123148318234,1.6708536148655287e-22
ENSG00000083307,1.0599411215729418e-24,60.478487579236926,1.8393055707708012e-22
ENSG00000166949,1.0899187662350181e-24,60.44510504415506,1.879201606116877e-22
ENSG00000169116,1.2220247705280945e-24,60.3081992476224,2.0935541562352967e-22
ENSG00000087460,2.9797559602889843e-24,59.24331703015398,5.072563042018533e-22
ENSG00000157992,3.061684307078284e-24,59.21096046040306,5.179253006760038e-22
ENSG00000169213,3.7874285811272625e-24,58.95729860394125,6.334194825324704e-22
ENSG00000235657,3.79152086432419e-24,58.95601130923918,6.334194825324704e-22
ENSG00000115828,3.909181577927056e-24,58.91958343534111,6.490447956882965e-22
ENSG00000169908,5.911410810020848e-24,58.42698885945029,9.754553163014157e-22
ENSG00000277377,6.5666154154632664e-24,58.3018913805741,1.0769649684738748e-21
ENSG00000099194,6.876569090752039e-24,58.24701537071834,1.1209641141451975e-21
ENSG00000164756,7.650100935199729e-24,58.12021339950372,1.23954677622932e-21
ENSG00000105835,7.827817058043952e-24,58.0929019576801,1.2607472779054382e-21
ENSG00000237438,9.02431244844483e-24,57.92378700878791,1.4448031662251227e-21
ENSG00000169856,9.280573090214889e-24,57.89050440811853,1.477038901819585e-21
ENSG00000131981,1.0148571760057144e-23,57.78425035711179,1.6056831448838648e-21
ENSG00000166750,1.1256696052201815e-23,57.66113545240574,1.7705927117898963e-21
ENSG00000211445,1.1853473532956979e-23,57.59978038767831,1.8496128117663174e-21
ENSG00000165092,1.1896606180450343e-23,57.595466717105836,1.8496128117663174e-21
ENSG00000229215,1.256471381635682e-23,57.53058253832781,1.9311606143917108e-21
ENSG00000224320,1.256471381635682e-23,57.53058253832781,1.9311606143917108e-21
ENSG00000079689,1.615260786540113e-23,57.23244355963421,2.468503941793717e-21
ENSG00000224114,1.9404526839029657e-23,57.01488872921617,2.9487206688665576e-21
ENSG00000173334,2.1229207719380293e-23,56.90834213834527,3.2078764046526502e-21
ENSG00000228080,2.2994030287330652e-23,56.813694808194505,3.455142081778394e-21
ENSG00000127249,2.696796304240042e-23,56.62482739223146,4.029762788619134e-21
