gene_name,p,f,q
ENSG00000227715,0.0,2213.471668710265,0.0
ENSG00000234745,0.0,1865.7320095120097,0.0
ENSG00000240342,0.0,5082.938523536655,0.0
ENSG00000235657,0.0,2193.2669506356174,0.0
ENSG00000273686,0.0,5032.82039997765,0.0
ENSG00000206435,0.0,2447.7768537186794,0.0
ENSG00000206452,0.0,2435.860942194728,0.0
ENSG00000198840,0.0,1575.9381330602248,0.0
ENSG00000197249,0.0,2220.3863851206734,0.0
ENSG00000197728,1.808080738821609e-271,1281.283613591512,4.4381149815115215e-268
ENSG00000228253,2.1206750893269855e-228,1070.6441232844809,4.7321900675109256e-225
ENSG00000136213,2.1916313923899353e-215,1007.4399816851048,4.4829820131336125e-212
ENSG00000239830,3.820065348596193e-213,996.575858185732,7.212871080510935e-210
ENSG00000256618,1.3705749172455864e-206,964.8381097037428,2.4030094227650118e-203
ENSG00000206505,1.3113210766819795e-201,940.756544182927,2.1458458098823912e-198
ENSG00000228964,5.720113386583371e-195,908.7013519793627,8.775368949192214e-192
ENSG00000229215,9.150928484387389e-184,854.7317522257922,1.3212864151633698e-180
ENSG00000224608,1.3973114460176496e-180,839.423189728138,1.9054670418860681e-177
ENSG00000167642,8.059786687939406e-167,773.3987925415329,1.0412396002218982e-163
ENSG00000198712,5.776428870343465e-166,769.3025572830744,7.089411152572535e-163
ENSG00000228299,1.1251632514391801e-163,758.34216931437,1.3151551033250532e-160
ENSG00000109475,5.4600227226533916e-157,726.372092780521,6.091896261375006e-154
ENSG00000171657,1.048373947338257e-153,710.6923040372943,1.1188429091897765e-150
ENSG00000111640,8.101191762998564e-153,706.4536846977081,8.285493875606782e-150
ENSG00000213741,2.3903774224116796e-152,704.2111364741502,2.3469681684206833e-149
ENSG00000198886,5.223328227347479e-152,702.591228084377,4.931223641095047e-149
ENSG00000137845,6.481293107639325e-152,702.14407398643,5.8922155785227734e-149
ENSG00000172809,7.553326204978514e-152,701.8268902524175,6.621569465264379e-149
ENSG00000214263,1.342623596474173e-150,695.8645706662504,1.1364151310018984e-147
ENSG00000225630,7.14971687479444e-149,687.6321266841892,5.84989834695681e-146
ENSG00000277614,1.1036097610850337e-143,662.9112885074792,8.738453288901044e-141
ENSG00000109472,7.558483308672318e-142,654.1733241812723,5.7978291029584604e-139
ENSG00000171453,8.064185588017648e-140,644.5237774333538,5.998287861923672e-137
ENSG00000198786,9.6947562651508e-136,625.127063998355,6.9990437436585745e-133
ENSG00000288864,3.388943883068218e-128,589.3179883538744,2.3767147586797854e-125
ENSG00000168028,1.845989915529474e-126,581.0863291102683,1.2586574574051795e-123
ENSG00000197061,7.221583969771781e-125,573.539550946208,4.790837841135625e-122
ENSG00000128564,8.60734083956405e-125,573.1783262376808,5.559889164419452e-122
ENSG00000129824,9.401257349262411e-122,558.7879812148291,5.917006740897312e-119
ENSG00000078124,1.5709367628351369e-121,557.7323669046391,9.640053445137818e-119
ENSG00000198695,4.227710254758405e-118,541.5018055764086,2.5310579491048734e-115
ENSG00000089157,5.8094829974664586e-117,536.1198371703299,3.395227848947898e-114
ENSG00000223529,5.775927733080141e-114,521.9518604123739,3.2971144682833754e-111
ENSG00000169564,1.998304257558089e-110,505.2385358718502,1.1147812796822923e-107
ENSG00000212907,3.569744272971039e-110,504.0491618203839,1.947176509429936e-107
ENSG00000177954,1.1570374832810825e-109,501.6387512874907,6.174052622742924e-107
ENSG00000169020,1.6454346717188604e-109,500.9170124218434,8.593370096172585e-107
ENSG00000166922,2.0493764936644794e-107,491.0313959636309,1.0479999044476732e-104
ENSG00000204711,5.0936727384890477e-107,489.16650895316695,2.5516181844684114e-104
ENSG00000117691,1.7410586012463456e-105,481.9345133400251,8.54720488523856e-103
ENSG00000198763,5.367287871705598e-104,474.9167701043246,2.583244080370306e-101
ENSG00000124172,2.197662876705574e-100,457.90314737577677,1.0373814033002887e-97
ENSG00000137731,6.135997292329565e-99,451.09740281107463,2.8417771610853116e-96
ENSG00000119820,2.3733263385053267e-95,434.22314679951745,1.0788086723139214e-92
ENSG00000163380,6.098614538058542e-95,432.29627944041187,2.721756226385181e-92
ENSG00000102786,7.541067872384958e-95,431.86285739546094,3.3054116427778784e-92
ENSG00000237550,7.512760637757025e-94,427.17042344204407,3.2352319756909463e-91
ENSG00000184897,7.653398510556685e-94,427.13257027092607,3.2389710317262823e-91
ENSG00000198727,2.177829972511512e-92,420.30010099751274,9.060510933096199e-90
ENSG00000170906,2.1703639301954743e-91,415.6101365812865,8.878958838429685e-89
ENSG00000164713,2.0096372951982547e-90,411.0713319027187,8.086648696383009e-88
ENSG00000276766,6.561921572467194e-90,408.65863107490577,2.597885918028706e-87
ENSG00000136698,9.62002638076591e-90,407.8786913280838,3.748145516544127e-87
ENSG00000198918,1.2906644254517377e-89,407.27954545355846,4.950101404240367e-87
ENSG00000087460,5.310068959496774e-89,404.3962921173426,2.005245425843197e-86
ENSG00000276061,9.659785595753103e-89,403.17670940623,3.592562079293268e-86
ENSG00000229129,3.1237111280570003e-86,391.4029076662792,1.1443972141684646e-83
ENSG00000102109,5.732509804380231e-86,390.16640339298147,2.069267436151723e-83
ENSG00000206450,1.0269950396705415e-85,388.97899124852574,3.653423223732335e-83
ENSG00000122484,3.99620132923486e-85,386.21232381815395,1.4012965403914127e-82
ENSG00000125995,1.0759237395201305e-84,384.19586488856413,3.719665367642412e-82
ENSG00000269028,3.659595566668821e-84,381.7038265194185,1.2476171219368456e-81
ENSG00000198899,2.7159247324839484e-83,377.6243523378783,9.1322039018563e-81
ENSG00000175782,8.191506843023561e-82,370.693283935968,2.717144959038599e-79
ENSG00000171858,3.917961673233031e-81,367.5099285717029,1.2822704964157064e-78
ENSG00000270188,1.8889036598000852e-80,364.31101025147416,6.100661741243802e-78
ENSG00000157388,2.4677041622458878e-79,359.08615490765015,7.866528099543839e-77
ENSG00000170381,6.357091538202403e-79,357.1626663183871,2.000527806368156e-76
ENSG00000280831,6.2079245952062295e-78,352.53143061934645,1.9288571786573685e-75
ENSG00000174938,1.2703293033545738e-77,351.07651735276744,3.897687885017671e-75
ENSG00000198242,2.502238438171169e-77,349.6991885935649,7.582709222635743e-75
ENSG00000241468,4.65993041354947e-77,348.43593020795294,1.3949103894022598e-74
ENSG00000232112,6.156685004561863e-77,347.87009306723155,1.8207468689394634e-74
ENSG00000138495,1.2193417155301273e-76,346.48196537680934,3.5630906844526786e-74
ENSG00000163864,1.368365515916449e-76,346.2477522668036,3.951517641610018e-74
ENSG00000156508,2.5326631677889452e-76,344.99727065967903,7.228691874017146e-74
ENSG00000227399,3.0756366365476097e-76,344.6027602639499,8.67753757249398e-74
ENSG00000125356,3.5810026720514657e-75,339.61794929889714,9.988555862292646e-73
ENSG00000126070,5.4035466239172915e-75,338.78263869493367,1.4808242290405515e-72
ENSG00000281287,5.429568182744628e-75,338.77288498362856,1.4808242290405515e-72
ENSG00000206493,7.649422153629922e-75,338.0769748286222,2.0633265514615395e-72
ENSG00000125691,4.6261232458860454e-74,334.423670986361,1.234269795581727e-71
