gene_name,p,f,q
ENSG00000223980,0.0,7557.005483667127,0.0
ENSG00000235657,0.0,1611.4444621787702,0.0
ENSG00000231939,0.0,1738.7736868557174,0.0
ENSG00000228080,0.0,7956.933109363823,0.0
ENSG00000232062,0.0,3528.695092956485,0.0
ENSG00000225691,0.0,9823.2369699616,0.0
ENSG00000206503,2.684382109240358e-279,1351.6005168503934,6.525349424404847e-276
ENSG00000228284,1.3726727993739093e-271,1311.8643016033093,2.919675044268305e-268
ENSG00000228964,3.475850007116149e-269,1299.5011643346938,6.571673746787598e-266
ENSG00000233841,3.0136245438195455e-252,1212.7266432849967,5.1279835237633385e-249
ENSG00000229215,4.651756003943927e-247,1186.268365111611,7.195843651191806e-244
ENSG00000206305,1.1264066941999626e-214,1022.4234561288366,1.5972446923755469e-211
ENSG00000234794,2.234613903255188e-212,1010.8837332525595,2.924937705983867e-209
ENSG00000227826,6.755197459903991e-206,978.3943063394627,8.210459998409022e-203
ENSG00000230708,4.097586189001641e-194,919.5475334875646,4.648301772803461e-191
ENSG00000163682,1.7985599143662461e-193,916.3476179651941,1.9127684689285027e-190
ENSG00000240342,3.19224769274259e-183,865.4112380091576,3.195252161159289e-180
ENSG00000229295,3.513722054119289e-176,830.5428460709566,3.321638581827434e-173
ENSG00000233209,1.4708890704857723e-175,827.4687798269356,1.3172972854413633e-172
ENSG00000206450,3.971987359832788e-170,800.6516243051574,3.379366845745736e-167
ENSG00000229074,4.446300367684363e-163,765.9395904894651,3.602773669357958e-160
ENSG00000204525,1.7804784891072557e-159,748.2392084558367,1.3771191804840484e-156
ENSG00000228299,1.0445084676264331e-155,729.7529070623934,7.727546123970167e-153
ENSG00000227993,5.98517902489818e-150,701.562423503409,4.24349192865281e-147
ENSG00000206493,3.0696965790292557e-143,668.7988076183632,2.0893582795504725e-140
ENSG00000196735,2.074919902111445e-142,664.7530468064709,1.3579552713203213e-139
ENSG00000198502,9.716519623932861e-141,656.6137097936235,6.123566589660799e-138
ENSG00000167996,5.179970221190698e-135,628.7545109976621,3.147941902992176e-132
ENSG00000215030,1.2210901036926615e-134,626.9451570983047,7.16485144980494e-132
ENSG00000108518,2.0962083499506878e-132,616.0942815575505,1.1889693760920302e-129
ENSG00000234745,3.8204594628092764e-132,614.8291778538962,2.097062523198795e-129
ENSG00000255823,2.0591506149422337e-129,601.5811476362956,1.0949533394955328e-126
ENSG00000228987,9.855302625778374e-128,593.440985257103,5.081752408492266e-125
